	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
5610	YES		TRUE		volunteer	volunteer	agent	eng-30-02424984-v	do volunteer work	eng-30-10759151-n	a person who performs voluntary work	MS
5611	YES		TRUE	ZeroN	spread	spread	event	eng-30-00968211-v	cause to become widely known	eng-30-07445896-n	process or result of distributing or extending over a wide expanse of space	MS
5612	YES		TRUE		reverse	reverse	event	eng-30-00386715-v	turn inside out or upside down	eng-30-00346693-n	turning in the opposite direction	MS
5613	YES		TRUE	ZeroV	burrow	burrow	result	eng-30-02042067-v	move through by or as by digging	eng-30-09230041-n	a hole made by an animal, usually for shelter	MS
5614	YES	ment	FALSE		indorse	indorsement	by-means-of	eng-30-02453889-v	be behind; approve of	eng-30-07248060-n	a promotional statement (as found on the dust jackets of books)	MS
5615	YES		TRUE	ZeroN	draw	draw	undergoer	eng-30-01078050-v	choose at random	eng-30-03233423-n	anything (straws or pebbles etc.) taken or chosen at random	MS
5616	YES		TRUE	ZeroN	break	break	event	eng-30-00334186-v	become separated into pieces or fragments	eng-30-07367548-n	the occurrence of breaking	MS
5617	YES	ate	FALSE		decorate	decor	by-means-of	eng-30-01675963-v	make more attractive by adding ornament, colour, etc.	eng-30-03579355-n	decoration consisting of the layout and furnishings of a livable interior	MS
5618	YES		TRUE		bar_mitzvah	bar_mitzvah	event	eng-30-02474958-v	confirm in the bar mitzvah ceremony, of boys in the Jewish faith	eng-30-07453924-n	(Judaism) an initiation ceremony marking the 13th birthday of a Jewish boy and signifying the beginning of religious responsibility	MS
5619	YES	ation	FALSE		parcel	parcellation	event	eng-30-02469085-v	divide into parts	eng-30-00386164-n	the division into parcels	MS
5620	YES		TRUE	ZeroV	sandwich	sandwich	result	eng-30-01665081-v	make into a sandwich	eng-30-07695965-n	two (or more) slices of bread with a filling between them	MS
5621	YES		TRUE	Zero	strut	strut	event	eng-30-01916634-v	to walk with a lofty proud gait, often in an attempt to impress others	eng-30-00290125-n	a proud stiff pompous gait	MS
5622	YES		TRUE	ZeroN	point	point	uses	eng-30-00392960-v	give a point to	eng-30-13902482-n	a V shape	MS
5623	YES	ation	FALSE		exhort	exhortation	event	eng-30-00765649-v	force or impel in an indicated direction	eng-30-07139700-n	a communication intended to urge or persuade the recipients to take some action	MS
5624	YES	ation	FALSE		filter	filtration	event	eng-30-01457954-v	pass through	eng-30-13480667-n	the process whereby fluids pass through a filter or a filtering medium	MS
5625	YES	er	FALSE		rice	ricer	instrument	eng-30-01460408-v	sieve so that it becomes the consistency of rice	eng-30-04088441-n	a kitchen utensil used for ricing soft foods by extruding them through small holes	MS
5626	YES		TRUE		pay	pay	undergoer	eng-30-02291708-v	bring in	eng-30-13279262-n	something that remunerates	MS
5627	YES	ation	FALSE		focalise	focalisation	event	eng-30-00731789-v	bring into focus or alignment; to converge or cause to converge; of ideas or emotions	eng-30-00375625-n	the act of bringing into focus	MS
5628	YES		TRUE	ZeroV	sleuth	sleuth	agent	eng-30-00785690-v	watch, observe, or inquire secretly	eng-30-10611613-n	a detective who follows a trail	MS
5629	YES		TRUE	ZeroV	tonsure	tonsure	result	eng-30-00037779-v	shave the head of a newly inducted monk	eng-30-05539717-n	the shaved crown of a monk's or priest's head	MS
5630	YES	er	FALSE		avenge	avenger	agent	eng-30-01153486-v	take revenge for a perceived wrong	eng-30-09826074-n	someone who takes vengeance	MS
5631	YES		TRUE	ZeroV	hiccup	hiccup	event	eng-30-00003826-v	breathe spasmodically, and make a sound	eng-30-14359459-n	(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion	MS
5632	YES	ation	FALSE		vary	variation	result	eng-30-00123170-v	become different in some particular way, without permanently losing one's or its former characteristics or essence	eng-30-05840650-n	something a little different from others of the same type	MS
5634	YES		TRUE	ZeroV	picture	picture	by-means-of	eng-30-01686956-v	show in, or as in, a picture	eng-30-06999436-n	illustrations used to decorate or explain a text	MS
5635	YES	er	FALSE		launch	launcher	instrument	eng-30-01514655-v	propel with force	eng-30-02982232-n	a device that launches aircraft from a warship	MS
5636	YES		TRUE	ZeroN	hunt	hunt	event	eng-30-01143838-v	pursue for food or sport (as of wild animals)	eng-30-00622584-n	the work of finding and killing or capturing animals for food or pelts	MS
5637	YES		TRUE	ZeroV	link	link	by-means-of	eng-30-01354673-v	connect, fasten, or put together two or more pieces	eng-30-03673971-n	a fastener that serves to join or connect	MS
5638	YES		TRUE	Zero	rake	rake	instrument	eng-30-01306853-v	gather with a rake	eng-30-04050066-n	a long-handled tool with a row of teeth at its head; used to move leaves or loosen soil	MS
5639	YES	er	FALSE		mush	musher	agent	eng-30-01939678-v	drive (a team of dogs or a dogsled)	eng-30-10339717-n	a traveler who drives (or travels with) a dog team	MS
5640	YES	er	FALSE		feed	feeder	by-means-of	eng-30-01181166-v	feed into; supply	eng-30-09278997-n	a branch that flows into the main stream	MS
5641	YES		TRUE	Zero	bark	bark	event	eng-30-01047745-v	make barking sounds	eng-30-07376621-n	the sound made by a dog	MS
5642	YES		TRUE		itch	itch	event	eng-30-02119874-v	scrape or rub as if to relieve itching	eng-30-05723563-n	an irritating cutaneous sensation that produces a desire to scratch	MS
5643	YES	er	FALSE		divine	diviner	agent	eng-30-02107588-v	perceive intuitively or through some inexplicable perceptive powers	eng-30-10020031-n	someone who claims to discover hidden knowledge with the aid of supernatural powers	MS
5644	YES	ation	FALSE		restore	restoration	event	eng-30-02310482-v	give or bring back	eng-30-00089351-n	getting something back again	MS
5645	YES	ation	FALSE		vitrify	vitrification	result	eng-30-00537892-v	change into glass or a glass-like substance by applying heat	eng-30-15112565-n	a vitrified substance; the glassy result of being vitrified	MS
5646	YES	er	FALSE		shape	shaper	agent	eng-30-00142191-v	give shape or form to	eng-30-10284064-n	a person who makes things	MS
5647	YES	ion	FALSE		exenterate	exenteration	event	eng-30-00176618-v	remove the contents of (an organ)	eng-30-00673710-n	surgical removal of the organs within a body cavity (as those of the pelvis)	MS
5648	YES		TRUE	ZeroV	rat	rat	undergoer	eng-30-01480641-v	catch rats, especially with dogs	eng-30-02331046-n	any of various long-tailed rodents similar to but larger than a mouse	MS
5649	YES	ion	FALSE		expiate	expiation	event	eng-30-02520509-v	make amends for	eng-30-13292787-n	compensation for a wrong	MS
5650	YES		TRUE		return	return	event	eng-30-02357072-v	return in kind	eng-30-07199922-n	a quick reply to a question or remark (especially a witty or critical one)	MS
5651	YES	ment	FALSE		announce	announcement	event	eng-30-00965871-v	announce publicly or officially	eng-30-06726158-n	a formal public statement	MS
5652	YES	er	FALSE		sand	sander	instrument	eng-30-01386433-v	rub with sandpaper	eng-30-03250588-n	a power tool used for sanding wood; an endless loop of sandpaper is moved at high speed by an electric motor	MS
5653	YES	or	FALSE		simulate	simulator	by-means-of	eng-30-01722980-v	create a representation or model of	eng-30-04221823-n	a machine that simulates an environment for the purpose of training or research	MS
5654	YES	or	FALSE		coordinate	coordinator	agent	eng-30-00404642-v	bring order and organization to	eng-30-09963914-n	someone whose task is to see that work goes harmoniously	MS
5655	YES		TRUE	ZeroV	wharf	wharf	uses	eng-30-02281960-v	store on a wharf	eng-30-03933529-n	a platform built out from the shore into the water and supported by piles; provides access to ships and boats	MS
5656	YES	ation	FALSE		ionise	ionisation	state	eng-30-00267041-v	become converted into ions	eng-30-14577469-n	the condition of being dissociated into ions (as by heat or radiation or chemical reaction or electrical discharge)	MS
5657	YES	ation	FALSE		molest	molestation	event	eng-30-01789514-v	annoy continually or chronically	eng-30-00419644-n	the act of tormenting by continued persistent attacks and criticism	MS
5658	YES		TRUE	ZeroN	wave	wave	result	eng-30-01223616-v	twist or roll into coils or ringlets	eng-30-05259240-n	a hairdo that creates undulations in the hair	MS
5659	YES	er	FALSE		void	voider	agent	eng-30-00073343-v	excrete or discharge from the body	eng-30-10000007-n	a person who defecates	MS
5660	YES	ance	FALSE		use	usance	event	eng-30-02561332-v	avail oneself to	eng-30-00413239-n	accepted or habitual practice	MS
5661	YES		TRUE	ZeroV	callus	callus	result	eng-30-00255880-v	cause a callus to form on	eng-30-14364566-n	an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot)	MS
5662	YES	ation	FALSE		condense	condensation	event	eng-30-00366275-v	cause a gas or vapor to change into a liquid	eng-30-13451348-n	the process of changing from a gaseous to a liquid or solid state	MS
5663	YES		TRUE	ZeroV	latch	latch	instrument	eng-30-01286777-v	fasten with a latch	eng-30-03644858-n	catch for fastening a door or gate; a bar that can be lowered or slid into a groove	MS
5664	YES	ation	FALSE		localise	localisation	event	eng-30-02695895-v	identify the location or place of	eng-30-00155487-n	a determination of the place where something is	MS
5665	YES	ment	FALSE		malnourish	malnourishment	result	eng-30-01179276-v	provide with insufficient quality or quantity of nourishment	eng-30-14040490-n	not having enough food to develop or function normally	MS
5666	YES		TRUE		waste	waste	undergoer	eng-30-02223479-v	get rid of	eng-30-14856263-n	any materials unused and rejected as worthless or unwanted	MS
5667	YES	ation	FALSE		improvise	improvisation	event	eng-30-01728840-v	perform without preparation	eng-30-00178832-n	an unplanned expedient	MS
5669	YES	er	FALSE		drink	drinker	agent	eng-30-01170052-v	take in liquids	eng-30-10034614-n	a person who drinks liquids	MS
5671	YES		TRUE	ZeroN	drive	drive	event	eng-30-01506157-v	cause to move back by force or influence	eng-30-00798245-n	a series of actions advancing a principle or tending toward a particular end	MS
5672	YES	ion	FALSE		implicate	implication	event	eng-30-02677332-v	bring into intimate and incriminating connection	eng-30-07238102-n	an accusation that brings into intimate and usually incriminating connection	MS
5673	YES		TRUE	ZeroV	wager	wager	undergoer	eng-30-01155687-v	stake on the outcome of an issue	eng-30-13343526-n	the money risked on a gamble	MS
5674	YES	ion	FALSE		prognosticate	prognostication	event	eng-30-00917772-v	make a prediction about; tell in advance	eng-30-06748969-n	a statement made about the future	MS
5675	YES	al	FALSE		remove	removal	event	eng-30-00173338-v	remove something concrete, as by lifting, pushing, or taking off, or remove something abstract	eng-30-00391599-n	the act of removing	MS
5676	YES	er	FALSE		fancy	fancier	agent	eng-30-01776468-v	have a fancy or particular liking or desire for	eng-30-10078131-n	a person having a strong liking for something	MS
5677	YES		TRUE	ZeroN	hit	hit	event	eng-30-02482425-v	kill intentionally and with premeditation	eng-30-01250335-n	a murder carried out by an underworld syndicate	MS
5678	YES	ation	FALSE		float	floatation	event	eng-30-01514887-v	put into the water	eng-30-11527967-n	the phenomenon of floating (remaining on the surface of a liquid without sinking)	MS
5679	YES		TRUE		swing	swing	event	eng-30-02752277-v	have a certain musical rhythm	eng-30-07066042-n	a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz	MS
5680	YES	ion	FALSE		excavate	excavation	result	eng-30-01311378-v	form by hollowing	eng-30-03302121-n	a hole in the ground made by excavating	MS
5681	YES	er	FALSE		torment	tormenter	by-means-of	eng-30-00071178-v	subject to torture	eng-30-04456276-n	a flat at each side of the stage to prevent the audience from seeing into the wings	MS
5682	YES		TRUE	ZeroV	pinion	pinion	undergoer	eng-30-00512749-v	cut the wings off (of birds)	eng-30-02468864-n	any of the larger wing or tail feathers of a bird	MS
5683	YES	ion	FALSE		indicate	indication	event	eng-30-00923793-v	indicate a place, direction, person, or thing; either spatially or figuratively	eng-30-07231048-n	the act of indicating or pointing out by name	MS
5684	YES	er	FALSE		jewel	jeweler	agent	eng-30-01678685-v	adorn or decorate with precious stones	eng-30-10221777-n	someone in the business of selling jewelry	MS
5685	YES		TRUE	ZeroN	ride	ride	event	eng-30-02742232-v	have certain properties when driven	eng-30-00307631-n	a journey in a vehicle (usually an automobile)	MS
5686	YES		TRUE	ZeroN	enamel	enamel	uses	eng-30-01681723-v	coat, inlay, or surface with enamel	eng-30-03284743-n	any smooth glossy coating that resembles ceramic glaze	MS
5687	YES	er	FALSE		trip	tripper	agent	eng-30-01843055-v	make a trip for pleasure	eng-30-10596689-n	a tourist who is visiting sights of interest	MS
5688	YES		TRUE	ZeroN	flow	flow	event	eng-30-02066510-v	move or progress freely as if in a stream	eng-30-14005892-n	something that resembles a flowing stream in moving continuously	MS
5689	YES		TRUE	ZeroV	cradle	cradle	instrument	eng-30-01536663-v	wash in a cradle	eng-30-04098795-n	a trough that can be rocked back and forth; used by gold miners to shake auriferous earth in water in order to separate the gold	MS
5690	YES	fy	FALSE		glorify	glory	uses	eng-30-00489299-v	bestow glory upon	eng-30-04684358-n	brilliant radiant beauty	MS
5691	YES		TRUE	ZeroV	deluge	deluge	event	eng-30-01524523-v	fill quickly beyond capacity; as with a liquid	eng-30-11502102-n	a heavy rain	MS
5692	YES		TRUE	ZeroN	splash	splash	event	eng-30-02186868-v	make a splashing sound	eng-30-07395104-n	the sound like water splashing	MS
5693	YES		TRUE		slant	slant	property	eng-30-01884577-v	heel over	eng-30-05069199-n	degree of deviation from a horizontal plane	MS
5694	YES		TRUE	ZeroV	berth	berth	uses	eng-30-02336947-v	provide with a berth	eng-30-02831724-n	a bed on a ship or train; usually in tiers	MS
5695	YES		TRUE	ZeroN	amount	amount	undergoer	eng-30-02645007-v	add up in number or quantity	eng-30-00033615-n	how much there is or how many there are of something that you can quantify	MS
5696	YES		TRUE	ZeroN	replay	replay	event	eng-30-01738347-v	reproduce (a recording) on a recorder	eng-30-01020117-n	the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape	MS
5697	YES		TRUE	ZeroV	tack	tack	event	eng-30-00121678-v	reverse (a direction, attitude, or course of action)	eng-30-00351334-n	(nautical) the act of changing tack	MS
5698	YES	er	FALSE		dissent	dissenter	agent	eng-30-00804802-v	be of different opinions	eng-30-10018021-n	a person who dissents from some established policy	MS
5699	YES		TRUE		rest	rest	location	eng-30-01502946-v	rest on or as if on a pillow	eng-30-04081044-n	a support on which things can be put	MS
5700	YES	er	FALSE		stab	stabber	agent	eng-30-01231652-v	use a knife on	eng-30-10644179-n	someone who stabs another person	MS
5701	YES	ation	FALSE		organise	organisation	event	eng-30-02434238-v	form or join a union	eng-30-00237078-n	the act of forming or establishing something	MS
5702	YES	sion	FALSE		ascend	ascension	event	eng-30-01969216-v	"travel up, ""We ascended the mountain"""	eng-30-00324384-n	the act of changing location in an upward direction	MS
5703	YES	ion	FALSE		hydrate	hydration	event	eng-30-00214268-v	become hydrated and combine with water	eng-30-13494325-n	the process of combining with water; usually reversible	MS
5704	YES	or	FALSE		supervise	supervisor	agent	eng-30-02163301-v	keep tabs on; keep an eye on; keep under surveillance	eng-30-10676877-n	one who supervises or has charge and direction of	MS
5705	YES		TRUE	ZeroV	catalogue	catalogue	event	eng-30-01626844-v	make a catalogue, compile a catalogue	eng-30-06416206-n	a book or pamphlet containing an enumeration of things	MS
5706	YES		TRUE	ZeroV	lighter	lighter	vehicle	eng-30-01954852-v	transport in a flatbottom boat	eng-30-02792552-n	a flatbottom boat for carrying heavy loads (especially on canals)	MS
5707	YES		TRUE	ZeroV	sanction	sanction	uses	eng-30-02479154-v	give authority or permission to	eng-30-05176607-n	official permission or approval	MS
5708	YES	er	FALSE		scramble	scrambler	agent	eng-30-01886334-v	to move hurriedly	eng-30-10563403-n	a rapid mover; someone who scrambles	MS
5709	YES		TRUE	ZeroV	house	house	uses	eng-30-02459173-v	provide housing for	eng-30-03544360-n	a dwelling that serves as living quarters for one or more families	MS
5710	YES	or	FALSE		violate	violator	agent	eng-30-02566528-v	act in disregard of laws, rules, contracts, or promises	eng-30-10754449-n	someone who violates the law	MS
5711	YES	er	FALSE		arrange	arranger	agent	eng-30-01463963-v	put into a proper or systematic order	eng-30-10383237-n	a person who brings order and organization to an enterprise	MS
5712	YES	ation	FALSE		inhale	inhalation	event	eng-30-01198779-v	draw deep into the lungs in by breathing	eng-30-00836788-n	the act of inhaling; the drawing in of air (or other gases) as in breathing	MS
5713	YES	ion	FALSE		distort	distortion	event	eng-30-00835903-v	make false by mutilation or addition; as of a message or story	eng-30-00073713-n	the mistake of misrepresenting the facts	MS
5714	YES		TRUE		recompense	recompense	event	eng-30-02249741-v	make payment to; compensate	eng-30-13282007-n	payment or reward (as for service rendered)	MS
5715	YES	ation	FALSE		dispense	dispensation	undergoer	eng-30-00081072-v	give or apply (medications)	eng-30-13285714-n	a share that has been dispensed or distributed	MS
5716	YES		TRUE		change	change	event	eng-30-00126264-v	cause to change; make different; cause a transformation	eng-30-07296428-n	an event that occurs when something passes from one state or phase to another	MS
5717	YES	ment	FALSE		disenchant	disenchantment	state	eng-30-01817755-v	free from enchantment	eng-30-05988097-n	freeing from false belief or illusions	MS
5718	YES		TRUE	ZeroN	stretch	stretch	by-means-of	eng-30-02607830-v	occupy a large, elongated area	eng-30-09448945-n	a large and unbroken expanse or distance	MS
5720	YES		TRUE	ZeroV	pile	pile	undergoer	eng-30-02064131-v	press tightly together or cram	eng-30-07961480-n	a collection of objects laid on top of each other	MS
5721	YES	ion	FALSE		elevate	elevation	event	eng-30-02397637-v	give a promotion to or assign to a higher position	eng-30-00373544-n	the act of increasing the wealth or prestige or power or scope of something	MS
5722	YES	ion	FALSE		machinate	machination	result	eng-30-01651444-v	arrange by systematic planning and united effort	eng-30-05908520-n	a crafty and involved plot to achieve your (usually sinister) ends	MS
5723	YES	er	FALSE		fry	frier	undergoer	eng-30-00325328-v	cook on a hot surface using fat	eng-30-07645469-n	flesh of a medium-sized young chicken suitable for frying	MS
5724	YES	er	FALSE		sham	shammer	agent	eng-30-00838043-v	make believe with the intent to deceive	eng-30-10201535-n	a person who makes deceitful pretenses	MS
5725	YES		TRUE		patrol	patrol	agent	eng-30-02454939-v	maintain the security of by carrying out a patrol	eng-30-08329113-n	a group that goes through a region at regular intervals for the purpose of security	MS
5726	YES		TRUE	ZeroV	fuss	fuss	event	eng-30-02550516-v	care for like a mother	eng-30-00555138-n	a rapid active commotion	MS
5727	YES	or	FALSE		generate	generator	agent	eng-30-01627355-v	bring into existence	eng-30-10126177-n	someone who originates or causes or initiates something	MS
5728	YES		TRUE	ZeroV	witness	witness	agent	eng-30-02128286-v	be a witness to	eng-30-10786517-n	(law) a person who testifies under oath in a court of law	MS
5729	YES		TRUE	ZeroV	hammer	hammer	instrument	eng-30-01675245-v	create by hammering	eng-30-03481172-n	a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking	MS
5730	YES	ment	FALSE		defray	defrayment	event	eng-30-02349945-v	bear the expenses of	eng-30-01120448-n	the act of paying money	MS
5731	YES	er	FALSE		solve	solver	agent	eng-30-00733044-v	find the solution	eng-30-10458111-n	a thinker who focuses on the problem as stated and tries to synthesize information and knowledge to achieve a solution	MS
5732	YES	ion	FALSE		delineate	delineation	event	eng-30-02611630-v	determine the essential quality of	eng-30-07201804-n	a graphic or vivid verbal description	MS
5733	YES		TRUE	Zero	port	port	undergoer	eng-30-01171661-v	drink port	eng-30-07900825-n	sweet dark-red dessert wine originally from Portugal	MS
5734	YES	sion	FALSE		include	inclusion	event	eng-30-00183879-v	add as part of something else; put in as part of a set, group, or category	eng-30-00373130-n	the act of including	MS
5735	YES		TRUE	ZeroV	ape	ape	agent	eng-30-02675067-v	imitate uncritically and in every aspect	eng-30-09964411-n	someone who copies the words or behavior of another	MS
5736	YES		TRUE	ZeroN	ferry	ferry	by-means-of	eng-30-01949435-v	transport by ferry	eng-30-03329663-n	a boat that transports people or vehicles across a body of water and operates on a regular schedule	MS
5737	YES	er	FALSE		compute	computer	instrument	eng-30-00637259-v	make a mathematical calculation or computation	eng-30-03082979-n	a machine for performing calculations automatically	MS
5738	YES		TRUE		pasture	pasture	location	eng-30-01576165-v	feed as in a meadow or pasture	eng-30-08616050-n	a field covered with grass or herbage and suitable for grazing by livestock	MS
5739	YES		TRUE	ZeroV	exercise	exercise	event	eng-30-00100551-v	give a workout to	eng-30-00624738-n	the activity of exerting your muscles in various ways to keep fit	MS
5740	YES	er	FALSE		retrieve	retriever	agent	eng-30-01433809-v	run after, pick up, and bring to the master	eng-30-02099029-n	a dog with heavy water-resistant coat that can be trained to retrieve game	MS
5741	YES		TRUE		cypher	cypher	result	eng-30-00994076-v	convert ordinary language into code	eng-30-06254239-n	a message written in a secret code	MS
5742	YES		TRUE		ground	ground	by-means-of	eng-30-00636888-v	use as a basis for; found on	eng-30-09178999-n	a rational motive for a belief or action	MS
5743	YES		TRUE		cluck	cluck	event	eng-30-01054849-v	make a clucking sounds, characteristic of hens	eng-30-07381100-n	the sound made by a hen (as in calling her chicks)	MS
5744	YES	ence	FALSE		deterge	detergence	property	eng-30-01393038-v	wipe away; to wash off or out, cleanse; chiefly in medical use: to clear away foul matter from the body	eng-30-05149127-n	detergent quality; the quality of having cleansing power	MS
5745	YES		TRUE	Zero	press	press	event	eng-30-02024367-v	crowd closely	eng-30-08183398-n	a dense crowd of people	MS
5746	YES	sion	FALSE		precede	precession	event	eng-30-02692686-v	come before	eng-30-01257145-n	the act of preceding in time or order or rank (as in a ceremony)	MS
5747	YES	ion	FALSE		distend	distension	event	eng-30-00305537-v	become wider	eng-30-00366317-n	the act of expanding by pressure from within	MS
5748	YES		TRUE	ZeroV	tail	tail	undergoer	eng-30-01556178-v	remove or shorten the tail of an animal	eng-30-02157557-n	the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body	MS
5749	YES		TRUE	ZeroN	march	march	event	eng-30-02084587-v	cause to march or go at a marching pace	eng-30-00290579-n	the act of marching; walking with regular steps (especially in a procession of some kind)	MS
5750	YES	tion	FALSE		reabsorb	reabsorption	event	eng-30-01539913-v	undergo resorption	eng-30-13550504-n	the organic process in which the substance of some differentiated structure that has been produced by the body undergoes lysis and assimilation	MS
5751	YES		TRUE	ZeroV	mulch	mulch	uses	eng-30-01234379-v	cover with mulch	eng-30-03797896-n	a protective covering of rotting vegetable matter spread to reduce evaporation and soil erosion	MS
5752	YES	er	FALSE		drive	driver	agent	eng-30-01407904-v	strike with a driver, as in teeing off	eng-30-10035314-n	a golfer who hits the golf ball with a driver	MS
5753	YES		TRUE		check	check	state	eng-30-01861403-v	stop for a moment, as if out of uncertainty or caution	eng-30-14010927-n	the state of inactivity following an interruption	MS
5754	YES		TRUE	ZeroN	rethink	rethink	event	eng-30-00688768-v	change one's mind	eng-30-05790012-n	thinking again about a choice previously made	MS
5755	YES		TRUE		question	question	event	eng-30-00785008-v	pose a question	eng-30-07196682-n	a sentence of inquiry that asks for a reply	MS
5756	YES		TRUE		convert	convert	undergoer	eng-30-00384411-v	change religious beliefs, or adopt a religious belief	eng-30-09962414-n	a person who has been converted to another religious or political belief	MS
5757	YES		TRUE		affect	affect	event	eng-30-01767949-v	have an emotional or cognitive impact upon	eng-30-07479926-n	the conscious subjective aspect of feeling or emotion	MS
5759	YES	er	FALSE		jewel	jeweller	agent	eng-30-01678685-v	adorn or decorate with precious stones	eng-30-10221956-n	someone who makes jewelry	MS
5760	YES	ion	FALSE		substantiate	substantiation	event	eng-30-00665886-v	establish or strengthen as with new evidence or facts	eng-30-00153961-n	the act of validating; finding or testing the truth of something	MS
5761	YES		TRUE		help	help	by-means-of	eng-30-00206998-v	improve; change for the better	eng-30-05154908-n	a resource	MS
5762	YES	ion	FALSE		circulate	circulation	event	eng-30-00270005-v	cause to move around	eng-30-11439031-n	movement through a circuit; especially the movement of blood through the heart and blood vessels	MS
5763	YES	ation	FALSE		declare	declaration	result	eng-30-02300549-v	designate (a trump suit or no-trump) with the final bid of a hand	eng-30-06737394-n	(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make	MS
5764	YES	ation	FALSE		manifest	manifestation	event	eng-30-00423075-v	reveal its presence or make an appearance	eng-30-07323024-n	an appearance in bodily form (as of a disembodied spirit)	MS
5765	YES	ation	FALSE		justify	justification	by-means-of	eng-30-00896803-v	show to be reasonable or provide adequate ground for	eng-30-05823054-n	something (such as a fact or circumstance) that shows an action to be reasonable or necessary	MS
5766	YES	er	FALSE		tranquillise	tranquilliser	by-means-of	eng-30-00022316-v	cause to be calm or quiet as by administering a sedative to	eng-30-04470232-n	a drug used to reduce stress or tension without reducing mental clarity	MS
5767	YES	ation	FALSE		reconcile	reconciliation	event	eng-30-00482473-v	bring into consonance or accord	eng-30-00185104-n	getting two things to correspond	MS
5768	YES		TRUE	ZeroV	gull	gull	undergoer	eng-30-00854904-v	fool or hoax	eng-30-09921409-n	a person who is gullible and easy to take advantage of	MS
5769	YES		TRUE	ZeroN	beat	beat	event	eng-30-01945938-v	sail with much tacking or with difficulty	eng-30-00314094-n	the act of beating to windward; sailing as close as possible to the direction from which the wind is blowing	MS
5770	YES	er	FALSE		control	controller	agent	eng-30-00663160-v	verify by using a duplicate register for comparison	eng-30-09761403-n	someone who maintains and audits business accounts	MS
5771	YES	er	FALSE		point	pointer	by-means-of	eng-30-02713184-v	be oriented	eng-30-06818121-n	a mark to indicate a direction or relation	MS
5772	YES	ation	FALSE		decolonise	decolonisation	event	eng-30-02590667-v	grant independence to (a former colony)	eng-30-01082548-n	the action of changing from colonial to independent status	MS
5773	YES	er	FALSE		indorse	indorser	agent	eng-30-02556817-v	give support or one's approval to	eng-30-10670668-n	someone who expresses strong approval	MS
5774	YES	ion	FALSE		dissertate	dissertation	event	eng-30-00814621-v	talk at length and formally about a topic	eng-30-06409085-n	a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree	MS
5775	YES		TRUE		heat	heat	event	eng-30-01761120-v	arouse or excite feelings and passions	eng-30-04628192-n	the trait of being intensely emotional	MS
5776	YES	er	FALSE		condense	condenser	instrument	eng-30-00244625-v	make more concise	eng-30-03087366-n	lens used to concentrate light on an object	MS
5777	YES	sion	FALSE		condescend	condescension	by-means-of	eng-30-00908977-v	treat condescendingly	eng-30-06719404-n	a communication that indicates lack of respect by patronizing the recipient	MS
5778	YES	ion	FALSE		assimilate	assimilation	event	eng-30-00159642-v	become similar to one's environment	eng-30-13434878-n	the social process of absorbing one cultural group into harmony with another	MS
5779	YES	ator	FALSE		instill	instillator	instrument	eng-30-01422662-v	enter drop by drop	eng-30-03574416-n	medical apparatus that puts a liquid into a cavity drop by drop	MS
5780	YES	er	FALSE		write	writer	agent	eng-30-00993014-v	communicate or express by writing	eng-30-10801291-n	a person who is able to write and has written something	MS
5781	YES	ion	FALSE		assert	assertion	event	eng-30-01016778-v	state categorically	eng-30-06729499-n	a declaration that is made emphatically (as if no supporting evidence were necessary)	MS
5782	YES	ion	FALSE		construct	construction	event	eng-30-01654628-v	make by combining materials and parts	eng-30-00911048-n	the act of constructing something	MS
5783	YES		TRUE	ZeroV	seed	seed	uses	eng-30-01652429-v	bear seeds	eng-30-13135832-n	a small hard fruit	MS
5784	YES	ation	FALSE		suborn	subornation	event	eng-30-00835158-v	procure (false testimony or perjury)	eng-30-06736946-n	perjured testimony that someone was persuaded to give	MS
5785	YES		TRUE		canvass	canvass	event	eng-30-02458747-v	solicit votes from potential voters in an electoral campaign	eng-30-05800998-n	an inquiry into public opinion conducted by interviewing a random sample of people	MS
5786	YES	er	FALSE		thwart	thwarter	agent	eng-30-02558172-v	hinder or prevent (the efforts, plans, or desires) of	eng-30-10349243-n	someone who systematically obstructs some action that others want to take	MS
5787	YES		TRUE	ZeroN	haul	haul	event	eng-30-01452255-v	transport in a vehicle	eng-30-00115036-n	the act of drawing or hauling something	MS
5788	YES		TRUE	ZeroV	regiment	regiment	result	eng-30-02448886-v	form (military personnel) into a regiment	eng-30-08213817-n	army unit smaller than a division	MS
5789	YES	ion	FALSE		contract	contraction	event	eng-30-01387786-v	squeeze or press together	eng-30-00369802-n	(physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle fiber)	MS
