Confirmed derivation	NEW SUFFIX	Zero	V synset	V literal	N synset	N literal	Existing MS relation	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
Y	ise	FALSE	eng-30-00956687-v	characterise	eng-30-06694796-n	character		NEW_PAIR_REL
YES		TRUE	eng-30-00843468-v	charge	eng-30-06561942-n	charge	event	MS
YES		TRUE	eng-30-00843959-v	charge	eng-30-06730780-n	charge	event	MS
YES		TRUE	eng-30-00750345-v	charge	eng-30-07169480-n	charge	event	MS
YES		TRUE	eng-30-01762528-v	charge	eng-30-07528470-n	charge	event	MS
YES		TRUE	eng-30-02317289-v	charge	eng-30-07190941-n	charge	event	MS
YES		TRUE	eng-30-02321046-v	charge	eng-30-07190941-n	charge	event	MS
YES		TRUE	eng-30-00843468-v	charge	eng-30-06730780-n	charge	event	MS
YES		TRUE	eng-30-02475922-v	charge	eng-30-00829378-n	charge	event	MS
YES		TRUE	eng-30-00869931-v	charge	eng-30-06561942-n	charge	event	MS
YES		TRUE	eng-30-02475922-v	charge	eng-30-00731222-n	charge	event	MS
YES		TRUE	eng-30-02475922-v	charge	eng-30-07169480-n	charge	event	MS
YES		TRUE	eng-30-00750532-v	charge	eng-30-00731222-n	charge	event	MS
YES		TRUE	eng-30-00750172-v	charge	eng-30-00731222-n	charge	event	MS
YES		TRUE	eng-30-02320374-v	charge	eng-30-07190941-n	charge	event	MS
YES		TRUE	eng-30-02321046-v	charge	eng-30-13400798-n	charge	event	MS
YES		TRUE	eng-30-01121719-v	charge	eng-30-00974762-n	charge	event	MS
YES		TRUE	eng-30-00517847-v	charge	eng-30-11435028-n	charge	property	MS
YES		TRUE	eng-30-00518115-v	charge	eng-30-11435028-n	charge	property	MS
YES		TRUE	eng-30-02321046-v	charge	eng-30-13306870-n	charge	undergoer	MS
YES		TRUE	eng-30-01685960-v	charge	eng-30-03008565-n	charge	undergoer	MS
YES		TRUE	eng-30-00700517-v	charge	eng-30-13306870-n	charge	undergoer	MS
YES		TRUE	eng-30-02320374-v	charge	eng-30-13306870-n	charge	undergoer	MS
YES		TRUE	eng-30-02347637-v	charge	eng-30-09909760-n	charge	undergoer	MS
YES		TRUE	eng-30-01490336-v	charge	eng-30-03008275-n	charge	uses	MS
Y		TRUE	eng-30-02475922-v	charge	eng-30-09909760-n	charge		NEW_PAIR_REL
Y		TRUE	eng-30-01897097-v	Charleston	eng-30-00536359-n	Charleston		NEW_PAIR_REL
Y	ist	FALSE	eng-30-01755137-v	chart	eng-30-09910840-n	chartist		NEW_PAIR_REL
Y	er	FALSE	eng-30-02001858-v	chase	eng-30-07883860-n	chaser		NEW_PAIR_REL
Y		TRUE	eng-30-01553869-v	chatter	eng-30-07378952-n	chatter		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01553869-v	chatter	eng-30-07378952-n	chattering		NEW_PAIR_REL
YES		TRUE	eng-30-02574516-v	cheat	eng-30-09998101-n	cheat	agent	MS
Y		TRUE	eng-30-02573275-v	cheat	eng-30-09998101-n	cheat	agent	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-01104624-v	cheat	eng-30-09998101-n	cheat	agent	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-01104624-v	cheat	eng-30-00780148-n	cheat	event	MS
YES		TRUE	eng-30-02573275-v	cheat	eng-30-00754424-n	cheat	event	MS
Y		TRUE	eng-30-02574516-v	cheat	eng-30-00754424-n	cheat		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02574516-v	cheat	eng-30-00754424-n	cheating		NEW_PAIR_REL
YES		TRUE	eng-30-00663353-v	check	eng-30-00141806-n	check	event	MS
YES		TRUE	eng-30-02557638-v	check	eng-30-00562935-n	check	event	MS
YES		TRUE	eng-30-02658283-v	check	eng-30-00141806-n	check	event	MS
YES		TRUE	eng-30-00661824-v	check	eng-30-00141806-n	check	event	MS
YES		TRUE	eng-30-00920336-v	check	eng-30-00141806-n	check	event	MS
YES		TRUE	eng-30-02553697-v	check	eng-30-01146039-n	check	event	MS
YES		TRUE	eng-30-00661824-v	check	eng-30-05738625-n	check	event	MS
YES		TRUE	eng-30-00662589-v	check	eng-30-00141806-n	check	event	MS
YES		TRUE	eng-30-02510337-v	check	eng-30-01146039-n	check	event	MS
YES		TRUE	eng-30-00336260-v	check	eng-30-04692908-n	check	result	MS
YES		TRUE	eng-30-02533282-v	check	eng-30-05825245-n	check	result	MS
YES		TRUE	eng-30-00354634-v	check	eng-30-14010927-n	check	state	MS
YES		TRUE	eng-30-01861403-v	check	eng-30-14010927-n	check	state	MS
YES		TRUE	eng-30-01064999-v	check	eng-30-13381734-n	check	undergoer	MS
YES		TRUE	eng-30-00336539-v	check	eng-30-04692908-n	check	uses	MS
YES		TRUE	eng-30-00662182-v	check	eng-30-06818747-n	check	uses	MS
Y		TRUE	eng-30-00662589-v	check	eng-30-05825245-n	check		NEW_PAIR_REL
Y		TRUE	eng-30-01692978-v	check	eng-30-03011162-n	check		NEW_PAIR_REL
Y	er	FALSE	eng-30-01692978-v	checker	eng-30-03011162-n	check		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01817938-v	cheer	eng-30-07251779-n	cheering		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00858781-v	cheer	eng-30-07251779-n	cheering		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00858568-v	cheer	eng-30-07251779-n	cheering		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00824767-v	chide	eng-30-06712833-n	chiding		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00369864-v	chill	eng-30-13453160-n	chilling		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00370412-v	chill	eng-30-13453160-n	chilling		NEW_PAIR_REL
Y		TRUE	eng-30-01323202-v	chine	eng-30-01895128-n	chine		NEW_PAIR_REL
Y	y	FALSE	eng-30-02107817-v	chiromance	eng-30-05777830-n	chiromancy		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00089602-v	chlorinate	eng-30-14634591-n	chlorine		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00186567-v	chlorinate	eng-30-14634591-n	chlorine		NEW_PAIR_REL
YES		TRUE	eng-30-01730799-v	choir	eng-30-08188638-n	choir	agent	MS
YES		TRUE	eng-30-01730799-v	choir	eng-30-03024064-n	choir	location	MS
Y		TRUE	eng-30-01730799-v	choir	eng-30-08188814-n	choir		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00002724-v	choke	eng-30-14058252-n	choking		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01476180-v	choke	eng-30-14058252-n	choking		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01570744-v	choke	eng-30-00225786-n	choking		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00077698-v	choke	eng-30-14058252-n	choking		NEW_PAIR_REL
y	ing	FALSE	eng-30-00077950-v	choke	eng-30-00225786-n	choking		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01174973-v	chomp	eng-30-00279136-n	chomping		NEW_PAIR_REL
YES		TRUE	eng-30-01415454-v	chop	eng-30-00566889-n	chop	event	MS
YES		TRUE	eng-30-01258091-v	chop	eng-30-07653982-n	chop	result	MS
Y		TRUE	eng-30-01415454-v	chop	eng-30-00129317-n	chop	undergoer	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-01730799-v	chorus	eng-30-08187837-n	chorus	agent	MS
YES		TRUE	eng-30-00986750-v	chorus	eng-30-08187988-n	chorus	agent	MS
YES		TRUE	eng-30-00986750-v	chorus	eng-30-07379695-n	chorus	event	MS
Y		TRUE	eng-30-01730799-v	chorus	eng-30-08187988-n	chorus		NEW_PAIR_REL
Y		TRUE	eng-30-01730799-v	chorus	eng-30-07050177-n	chorus		NEW_PAIR_REL
Y		TRUE	eng-30-01730799-v	chorus	eng-30-08188449-n	chorus		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01028079-v	christen	eng-30-01038375-n	christening		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00277399-v	chronologise	eng-30-13845114-n	chronology		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00277399-v	chronologise	eng-30-06156346-n	chronology		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00277399-v	chronologise	eng-30-06503224-n	chronology		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00657016-v	chunk	eng-30-05731568-n	chunking		NEW_PAIR_REL
Y		TRUE	eng-30-01968275-v	chute	eng-30-03888257-n	chute		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01551679-v	cicatrise	eng-30-14363483-n	cicatrix		NEW_PAIR_REL
YES		TRUE	eng-30-01911339-v	circle	eng-30-00295172-n	circle	event	MS
YES		TRUE	eng-30-02044278-v	circle	eng-30-00295172-n	circle	event	MS
YES		TRUE	eng-30-01522716-v	circle	eng-30-13873917-n	circle	result	MS
Y		TRUE	eng-30-02044278-v	circle	eng-30-03032811-n	circle		NEW_PAIR_REL
Y	ise	FALSE	eng-30-02454649-v	circularise	eng-30-07250339-n	circular		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00968211-v	circularise	eng-30-07250339-n	circular		NEW_PAIR_REL
Y	ise	FALSE	eng-30-02043665-v	circularise	eng-30-07250339-n	circular		NEW_PAIR_REL
Y	ate	FALSE	eng-30-02044278-v	circulate	eng-30-03032811-n	circle		NEW_PAIR_REL
Y		TRUE	eng-30-01705257-v	cite	eng-30-06763681-n	cite	by-means-of undergoer	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-01024190-v	cite	eng-30-06763681-n	cite	by-means-of undergoer	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-01015866-v	cite	eng-30-06763681-n	cite	undergoer	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-01023259-v	cite	eng-30-06763681-n	cite	undergoer	NEW_LIT_PAIR_KNOWN_REL
Y	ify	FALSE	eng-30-00499642-v	citify	eng-30-08524735-n	city		NEW_PAIR_REL
Y	ify	FALSE	eng-30-00499642-v	citify	eng-30-08226335-n	city		NEW_PAIR_REL
YES	ation	FALSE	eng-30-00411312-v	civilise	eng-30-13448970-n	civilisation	event	MS
YES	ation	FALSE	eng-30-02388403-v	civilise	eng-30-04811995-n	civilisation	property	MS
Y	ation	FALSE	eng-30-00411312-v	civilise	eng-30-08111783-n	civilisation	result	NEW_LIT_PAIR_KNOWN_REL
Y	ant	FALSE	eng-30-02275365-v	claim	eng-30-09925592-n	claimant		NEW_PAIR_REL
Y	ant	FALSE	eng-30-01018352-v	claim	eng-30-09925592-n	claimant		NEW_PAIR_REL
Y		TRUE	eng-30-01383947-v	clam	eng-30-07786686-n	clam		NEW_PAIR_REL
Y	er	FALSE	eng-30-02174115-v	clang	eng-30-00076393-n	clanger		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00861929-v	clap	eng-30-06691989-n	clapping		NEW_PAIR_REL
y	ing	FALSE	eng-30-00034115-v	clap	eng-30-06691989-n	clapping		NEW_PAIR_REL
y		TRUE	eng-30-00654625-v	class	eng-30-08103777-n	class	destination	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-00654625-v	class	eng-30-07997703-n	class	result	MS
Y		TRUE	eng-30-00654625-v	class	eng-30-08239808-n	class	result	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00654625-v	class	eng-30-07974025-n	class	undergoer	NEW_LIT_PAIR_KNOWN_REL
YES	er	FALSE	eng-30-01532589-v	clean	eng-30-09927089-n	cleaner	agent	MS
YES	er	FALSE	eng-30-01532589-v	clean	eng-30-09927305-n	cleaner	agent	MS
YES	er	FALSE	eng-30-01533442-v	clean	eng-30-09927089-n	cleaner	agent	MS
YES	er	FALSE	eng-30-01532589-v	clean	eng-30-03040587-n	cleaner	material	MS
Y	er	FALSE	eng-30-00035758-v	clean	eng-30-03040587-n	cleaner	material	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-00180837-v	clean	eng-30-00251013-n	cleaning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01532589-v	clean	eng-30-00251013-n	cleaning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00035758-v	clean	eng-30-00251013-n	cleaning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01533442-v	clean	eng-30-00251013-n	cleaning		NEW_PAIR_REL
y	ing	FALSE	eng-30-02741960-v	clean	eng-30-00251013-n	cleaning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01532434-v	clean	eng-30-00251013-n	cleaning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00035758-v	cleanse	eng-30-00251013-n	cleansing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00195342-v	clear	eng-30-08541288-n	clearing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02350440-v	clear	eng-30-00264192-n	clearing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00195617-v	clear	eng-30-08541288-n	clearing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00904046-v	clear	eng-30-01247647-n	clearing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00549217-v	clear	eng-30-00264192-n	clearing		NEW_PAIR_REL
Y	age	FALSE	eng-30-01556572-v	cleave	eng-30-00386345-n	cleavage		NEW_PAIR_REL
Y		TRUE	eng-30-01556572-v	cleave	eng-30-13908201-n	cleft		NEW_PAIR_REL
Y		TRUE	eng-30-01558681-v	cleave	eng-30-13908201-n	cleft		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02411802-v	clerk	eng-30-00619230-n	clerking		NEW_PAIR_REL
YES		TRUE	eng-30-01921964-v	climb	eng-30-00325110-n	climb	event	MS
YES		TRUE	eng-30-00433232-v	climb	eng-30-07370410-n	climb	event	MS
Y		TRUE	eng-30-00433232-v	climb	eng-30-00325110-n	climb	event	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-02037989-v	climb	eng-30-09206985-n	climb	undergoer	MS
YES		TRUE	eng-30-01921964-v	climb	eng-30-09206985-n	climb	undergoer	MS
Y		TRUE	eng-30-01921964-v	climb	eng-30-07370410-n	climb		NEW_PAIR_REL
Y		TRUE	eng-30-00155143-v	climb	eng-30-07370410-n	climb		NEW_PAIR_REL
YES	er	FALSE	eng-30-01921964-v	climb	eng-30-09929298-n	climber	agent	MS
YES	er	FALSE	eng-30-01921964-v	climb	eng-30-10334957-n	climber	agent	MS
YES	er	FALSE	eng-30-00249017-v	climb	eng-30-10618685-n	climber	agent	MS
YES	er	FALSE	eng-30-01921964-v	climb	eng-30-03126385-n	climber	instrument	MS
Y	er	FALSE	eng-30-01921964-v	climb	eng-30-13102409-n	climber		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01921964-v	climb	eng-30-07370410-n	climbing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00155143-v	climb	eng-30-07370410-n	climbing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00490968-v	clock	eng-30-15133903-n	clocking		NEW_PAIR_REL
Y		TRUE	eng-30-02610628-v	close	eng-30-06398401-n	close		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01346978-v	close	eng-30-00344040-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02426395-v	close	eng-30-00229260-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02054382-v	close	eng-30-00281462-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01423285-v	close	eng-30-00344040-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02425913-v	close	eng-30-00211110-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02375619-v	close	eng-30-00281462-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02140781-v	close	eng-30-00229260-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01291941-v	close	eng-30-00281462-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02610628-v	close	eng-30-00211110-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02610628-v	close	eng-30-06398401-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02140781-v	close	eng-30-00344040-n	closing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01478423-v	close	eng-30-00344040-n	closing		NEW_PAIR_REL
y	ing	FALSE	eng-30-01345109-v	close	eng-30-00344040-n	closing		NEW_PAIR_REL
y	ing	FALSE	eng-30-02425913-v	close	eng-30-00229260-n	closing		NEW_PAIR_REL
Y	ure	FALSE	eng-30-01345109-v	close	eng-30-01074694-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-01423285-v	close	eng-30-01074694-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-02054382-v	close	eng-30-00281462-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-01478423-v	close	eng-30-01074694-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-02425913-v	close	eng-30-00229260-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-02140781-v	close	eng-30-00229260-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-01291941-v	close	eng-30-00281462-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-02375619-v	close	eng-30-00281462-n	closure		NEW_PAIR_REL
Y	ure	FALSE	eng-30-02426395-v	close	eng-30-00229260-n	closure		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00457770-v	clot	eng-30-13454479-n	clotting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00368367-v	clot	eng-30-13454479-n	clotting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00047945-v	clothe	eng-30-03051540-n	clothing		NEW_PAIR_REL
YES		TRUE	eng-30-02770717-v	cloud	eng-30-09247410-n	cloud	by-means-of	MS
YES		TRUE	eng-30-01537959-v	cloud	eng-30-13982999-n	cloud	event	MS
Y		TRUE	eng-30-02041577-v	cloud	eng-30-09247410-n	cloud		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02770717-v	cloud	eng-30-13449566-n	clouding		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00105778-v	clown	eng-30-00513401-n	clowning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00105778-v	clown	eng-30-06781383-n	clowning		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00833702-v	coach	eng-30-00270800-n	coaching		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01262321-v	coat	eng-30-03058107-n	coating	result	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-01264283-v	coat	eng-30-03058107-n	coating	uses	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-01264283-v	coat	eng-30-00712225-n	coating		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00051511-v	coat	eng-30-03058603-n	coating		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01264283-v	coat	eng-30-04700642-n	coating		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00261845-v	cobble	eng-30-00617865-n	cobbling		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00021679-v	cocainise	eng-30-03060294-n	cocain		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00021679-v	cocainise	eng-30-03060294-n	cocaine		NEW_PAIR_REL
Y		TRUE	eng-30-01581933-v	cocoon	eng-30-02312744-n	cocoon		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00994076-v	code	eng-30-00614489-n	coding		NEW_PAIR_REL
Y		TRUE	eng-30-01499948-v	coffin	eng-30-03064758-n	coffin		NEW_PAIR_REL
Y		TRUE	eng-30-00038849-v	coif	eng-30-05256862-n	coif	result	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-01334647-v	coif	eng-30-03065243-n	coif	uses	MS
Y	age	FALSE	eng-30-01697986-v	coin	eng-30-00940560-n	coinage		NEW_PAIR_REL
Y	age	FALSE	eng-30-01697986-v	coin	eng-30-06294441-n	coinage		NEW_PAIR_REL
YES		TRUE	eng-30-01215137-v	collar	eng-30-00088725-n	collar	event	MS
YES		TRUE	eng-30-01215694-v	collar	eng-30-03068486-n	collar	uses	MS
YES		TRUE	eng-30-01215694-v	collar	eng-30-03024882-n	collar	uses	MS
YES		TRUE	eng-30-01215694-v	collar	eng-30-03068181-n	collar	uses	MS
Y		TRUE	eng-30-01215851-v	collar	eng-30-03024882-n	collar		NEW_PAIR_REL
Y		TRUE	eng-30-01215851-v	collar	eng-30-03068181-n	collar		NEW_PAIR_REL
Y		TRUE	eng-30-01215851-v	collar	eng-30-03068486-n	collar		NEW_PAIR_REL
Y	ise	FALSE	eng-30-02433767-v	collectivise	eng-30-08056601-n	collective		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00414174-v	colonise	eng-30-08374049-n	colony		NEW_PAIR_REL
Y	ise	FALSE	eng-30-02590340-v	colonise	eng-30-08374049-n	colony		NEW_PAIR_REL
Y	ist	FALSE	eng-30-01696648-v	color	eng-30-09938672-n	colorist		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00283911-v	colorise	eng-30-04956594-n	color	undergoer uses	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00837133-v	colour	eng-30-04677952-n	colour	event	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00281101-v	colour	eng-30-04956594-n	colour	result undergoer	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00283911-v	colour	eng-30-04956594-n	colour	undergoer uses	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-01696648-v	colour	eng-30-04956594-n	colour	undergoer uses	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-01696648-v	colour	eng-30-14984973-n	colour	uses	MS
Y		TRUE	eng-30-00281101-v	colour	eng-30-14984973-n	colour		NEW_PAIR_REL
Y		TRUE	eng-30-02537092-v	colour	eng-30-14984973-n	colour		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00283911-v	colourise	eng-30-04956594-n	colour	undergoer uses	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-00038365-v	comb	eng-30-00256746-n	combing	event	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-01596645-v	comb	eng-30-00256746-n	combing	instrument	NEW_LIT_PAIR_KNOWN_REL
YES	ation	FALSE	eng-30-01385170-v	combine	eng-30-00870453-n	combination	event	MS
YES	ation	FALSE	eng-30-00193486-v	combine	eng-30-00870453-n	combination	event	MS
YES	ation	FALSE	eng-30-01385170-v	combine	eng-30-07964495-n	combination	result	MS
YES	ation	FALSE	eng-30-00394813-v	combine	eng-30-07963711-n	combination	result	MS
YES	ation	FALSE	eng-30-02377938-v	combine	eng-30-08272961-n	combination	result	MS
YES	ation	FALSE	eng-30-01385170-v	combine	eng-30-08272961-n	combination	result	MS
YES	ation	FALSE	eng-30-00193486-v	combine	eng-30-07963711-n	combination	result	MS
YES	ation	FALSE	eng-30-01385170-v	combine	eng-30-07963711-n	combination	result	MS
YES	ation	FALSE	eng-30-02377938-v	combine	eng-30-07964495-n	combination	result	MS
Y	ation	FALSE	eng-30-00394813-v	combine	eng-30-00378985-n	combination		NEW_PAIR_REL
Y	ation	FALSE	eng-30-01461328-v	combine	eng-30-00378985-n	combination		NEW_PAIR_REL
Y	ation	FALSE	eng-30-02309008-v	combine	eng-30-00378985-n	combination		NEW_PAIR_REL
Y	ation	FALSE	eng-30-00193486-v	combine	eng-30-00378985-n	combination		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02309008-v	combine	eng-30-00378985-n	combining		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00193486-v	combine	eng-30-00378985-n	combining		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00394813-v	combine	eng-30-00378985-n	combining		NEW_PAIR_REL
y	ing	FALSE	eng-30-01461328-v	combine	eng-30-00378985-n	combining		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01849221-v	come	eng-30-00280853-n	coming		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02197360-v	come	eng-30-00062133-n	coming		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02005948-v	come	eng-30-00048828-n	coming		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00341917-v	come	eng-30-05046471-n	coming		NEW_PAIR_REL
YES		TRUE	eng-30-01814815-v	comfort	eng-30-01211667-n	comfort	event	MS
YES		TRUE	eng-30-00082308-v	comfort	eng-30-14445379-n	comfort	state	MS
Y		TRUE	eng-30-00082308-v	comfort	eng-30-04033995-n	comfort		NEW_PAIR_REL
YES	er	FALSE	eng-30-01814815-v	comfort	eng-30-10686313-n	comforter	agent	MS
YES	er	FALSE	eng-30-01814815-v	comfort	eng-30-10518349-n	comforter	agent	MS
YES	er	FALSE	eng-30-00082308-v	comfort	eng-30-03075768-n	comforter	instrument	MS
Y	er	FALSE	eng-30-00082308-v	comfort	eng-30-04033995-n	comforter		NEW_PAIR_REL
YES		TRUE	eng-30-00961329-v	comment	eng-30-06762711-n	comment	event	MS
YES		TRUE	eng-30-01033189-v	comment	eng-30-06762711-n	comment	event	MS
YES		TRUE	eng-30-01058574-v	comment	eng-30-06765044-n	comment	result	MS
Y		TRUE	eng-30-01058574-v	comment	eng-30-06762711-n	comment		NEW_PAIR_REL
Y	ary	FALSE	eng-30-00961329-v	comment	eng-30-06762711-n	commentary	by-means-of event	NEW_LIT_PAIR_KNOWN_REL
y	ary	FALSE	eng-30-01033189-v	comment	eng-30-06762711-n	commentary	by-means-of event	NEW_LIT_PAIR_KNOWN_REL
Y	ary	FALSE	eng-30-01058574-v	comment	eng-30-06762711-n	commentary		NEW_PAIR_REL
YES		TRUE	eng-30-02480803-v	commission	eng-30-07169480-n	commission	event	MS
YES		TRUE	eng-30-02475261-v	commission	eng-30-00731222-n	commission	event	MS
YES		TRUE	eng-30-02475401-v	commission	eng-30-14009274-n	commission	state	MS
Y		TRUE	eng-30-02475261-v	commission	eng-30-01140471-n	commission		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02475261-v	commission	eng-30-01140471-n	commissioning		NEW_PAIR_REL
YES	ion	FALSE	eng-30-02582615-v	commit	eng-30-00773235-n	commission	event	MS
Y	ion	FALSE	eng-30-02349212-v	commit	eng-30-08324514-n	commission	undergoer	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00887463-v	commit	eng-30-06684383-n	commitment		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00408852-v	communise	eng-30-08541609-n	commune		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00408852-v	communise	eng-30-08375369-n	commune		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00409281-v	communise	eng-30-08375369-n	commune		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00409281-v	communise	eng-30-08541609-n	commune		NEW_PAIR_REL
YES	ation	FALSE	eng-30-00408852-v	communise	eng-30-01153139-n	communisation	event	MS
Y	ation	FALSE	eng-30-00408852-v	communise	eng-30-01151788-n	communisation	event	NEW_LIT_PAIR_KNOWN_REL
YES	ation	FALSE	eng-30-00409281-v	communise	eng-30-01152973-n	communisation	result	MS
Y		TRUE	eng-30-02716767-v	company	eng-30-08264897-n	company		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00653620-v	compare	eng-30-00142665-n	comparing		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00652900-v	compare	eng-30-00142665-n	comparing		NEW_PAIR_REL
Y	ion	FALSE	eng-30-00652900-v	compare	eng-30-13853808-n	comparison		NEW_PAIR_REL
Y	ion	FALSE	eng-30-00653620-v	compare	eng-30-00142665-n	comparison		NEW_PAIR_REL
Y	ion	FALSE	eng-30-00652900-v	compare	eng-30-00142665-n	comparison		NEW_PAIR_REL
