Manually confirmed derivation: Y/YES, X - not confirmed, B/XB - multistep derivation	Zero	V synset	V literal	N synset	N literal	Status: MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
Y	FALSE	eng-30-00187526-v	enclose	eng-30-00321956-n	enclosing	NEW_PAIR_REL
Y	FALSE	eng-30-01587062-v	enclose	eng-30-00321956-n	enclosing	NEW_PAIR_REL
Y	FALSE	eng-30-02711114-v	enclose	eng-30-03285912-n	enclosure	NEW_PAIR_REL
Y	FALSE	eng-30-00187526-v	enclose	eng-30-00321956-n	enclosure	NEW_PAIR_REL
Y	FALSE	eng-30-00187526-v	enclose	eng-30-06473381-n	enclosure	NEW_PAIR_REL
Y	FALSE	eng-30-01587062-v	enclose	eng-30-00321956-n	enclosure	NEW_PAIR_REL
Y	FALSE	eng-30-02711114-v	enclose	eng-30-09273291-n	enclosure	NEW_PAIR_REL
Y	FALSE	eng-30-01580467-v	enclose	eng-30-03285912-n	enclosure	NEW_PAIR_REL
Y	FALSE	eng-30-00993892-v	encode	eng-30-00615887-n	encoding	NEW_PAIR_REL
Y	TRUE	eng-30-02023107-v	encounter	eng-30-07414922-n	encounter	NEW_PAIR_REL
Y	FALSE	eng-30-01620854-v	end	eng-30-06398401-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01620854-v	end	eng-30-15266911-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00352826-v	end	eng-30-15266911-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00352826-v	end	eng-30-00209943-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-02609764-v	end	eng-30-07291312-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-02735418-v	end	eng-30-15266911-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-02735418-v	end	eng-30-06398401-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-02609764-v	end	eng-30-15266911-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-02609764-v	end	eng-30-06398401-n	ending	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-02735418-v	end	eng-30-07291312-n	ending	NEW_PAIR_REL
Y	FALSE	eng-30-01620854-v	end	eng-30-07291312-n	ending	NEW_PAIR_REL
YES	FALSE	eng-30-02453889-v	endorse	eng-30-07248060-n	endorsement	MS
YES	FALSE	eng-30-02556817-v	endorse	eng-30-07248060-n	endorsement	MS
Y	FALSE	eng-30-02556817-v	endorse	eng-30-07180372-n	endorsement	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-02556817-v	endorse	eng-30-01215168-n	endorsement	MS
YES	FALSE	eng-30-02453889-v	endorse	eng-30-01215168-n	endorsement	MS
YES	FALSE	eng-30-02447793-v	endorse	eng-30-06687358-n	endorsement	MS
YES	FALSE	eng-30-00997794-v	endorse	eng-30-06405198-n	endorsement	MS
Y	FALSE	eng-30-00022686-v	energise	eng-30-14050143-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00559102-v	energise	eng-30-14050143-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00559102-v	energise	eng-30-04633197-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00022686-v	energise	eng-30-05035961-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00559102-v	energise	eng-30-05035961-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00022686-v	energise	eng-30-04836683-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00022686-v	energise	eng-30-11452218-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00559102-v	energise	eng-30-11452218-n	energy	NEW_PAIR_REL
Y	FALSE	eng-30-00559102-v	energize	eng-30-01046984-n	energizing	NEW_PAIR_REL
Y	FALSE	eng-30-00022686-v	energize	eng-30-01046984-n	energizing	NEW_PAIR_REL
Y	FALSE	eng-30-01580467-v	enfold	eng-30-00406365-n	enfolding	NEW_PAIR_REL
Y	FALSE	eng-30-00711550-v	engineer	eng-30-00949619-n	engineering	NEW_PAIR_REL
Y	FALSE	eng-30-01749790-v	engrave	eng-30-00938791-n	engraving	NEW_PAIR_REL
Y	FALSE	eng-30-01097500-v	enlist	eng-30-01263711-n	enlisting	NEW_PAIR_REL
Y	FALSE	eng-30-00785962-v	enquire	eng-30-00636728-n	enquiry	NEW_PAIR_REL
Y	FALSE	eng-30-00784342-v	enquire	eng-30-07193596-n	enquiry	NEW_PAIR_REL
Y	FALSE	eng-30-02283197-v	ensile	eng-30-07801342-n	ensilage	NEW_PAIR_REL
Y	FALSE	eng-30-02634808-v	entail	eng-30-05780885-n	entailment	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-02635189-v	entail	eng-30-05780885-n	entailment	MS
Y	FALSE	eng-30-01720660-v	enter	eng-30-00049003-n	entering	NEW_PAIR_REL
Y	FALSE	eng-30-02016523-v	enter	eng-30-03290771-n	entrance	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-02016523-v	enter	eng-30-07370125-n	entrance	MS
YES	FALSE	eng-30-02016523-v	enter	eng-30-00049003-n	entrance	MS
Y	FALSE	eng-30-01082606-v	enter	eng-30-10060075-n	entrant	NEW_PAIR_REL
Y	FALSE	eng-30-02016523-v	enter	eng-30-10060175-n	entrant	NEW_PAIR_REL
Y	FALSE	eng-30-02578008-v	entrap	eng-30-01199035-n	entrapment	NEW_PAIR_REL
Y	FALSE	eng-30-01636221-v	envision	eng-30-05768415-n	envisioning	NEW_PAIR_REL
Y	FALSE	eng-30-01635432-v	envision	eng-30-05768415-n	envisioning	NEW_PAIR_REL
Y	FALSE	eng-30-02699141-v	epitomise	eng-30-06468818-n	epitome	NEW_PAIR_REL
Y	FALSE	eng-30-02699141-v	epitomise	eng-30-05937524-n	epitome	NEW_PAIR_REL
Y	FALSE	eng-30-00136800-v	equilibrate	eng-30-13446197-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrate	eng-30-13897996-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrate	eng-30-13934900-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-00136800-v	equilibrate	eng-30-13897996-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrate	eng-30-13446197-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-00136800-v	equilibrate	eng-30-13934900-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrate	eng-30-05659365-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrise	eng-30-13897996-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrise	eng-30-13934900-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrise	eng-30-05659365-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02673134-v	equilibrise	eng-30-13446197-n	equilibrium	NEW_PAIR_REL
Y	FALSE	eng-30-02339413-v	equip	eng-30-03730153-n	equipage	NEW_PAIR_REL
Y	FALSE	eng-30-02339413-v	equip	eng-30-01156899-n	equipping	NEW_PAIR_REL
Y	FALSE	eng-30-01548718-v	erase	eng-30-00397760-n	erasure	NEW_PAIR_REL
Y	FALSE	eng-30-00479391-v	erase	eng-30-00397760-n	erasure	NEW_PAIR_REL
Y	FALSE	eng-30-01548718-v	erase	eng-30-06428646-n	erasure	NEW_PAIR_REL
Y	FALSE	eng-30-01548718-v	erase	eng-30-06389230-n	erasure	NEW_PAIR_REL
Y	FALSE	eng-30-00275253-v	erode	eng-30-13475538-n	eroding	NEW_PAIR_REL
YES	FALSE	eng-30-00274724-v	erode	eng-30-13475538-n	erosion	MS
YES	FALSE	eng-30-00274724-v	erode	eng-30-14518924-n	erosion	MS
YES	FALSE	eng-30-00275253-v	erode	eng-30-14518924-n	erosion	MS
Y	FALSE	eng-30-00275253-v	erode	eng-30-13475538-n	erosion	NEW_PAIR_REL
Y	FALSE	eng-30-00617748-v	err	eng-30-04805472-n	errancy	NEW_PAIR_REL
Y	FALSE	eng-30-02599004-v	escape	eng-30-10062996-n	escapist	NEW_PAIR_REL
YES	TRUE	eng-30-00672433-v	estimate	eng-30-06783598-n	estimate	MS
YES	TRUE	eng-30-00672433-v	estimate	eng-30-05803379-n	estimate	MS
YES	TRUE	eng-30-00672433-v	estimate	eng-30-06528783-n	estimate	MS
Y	TRUE	eng-30-00672433-v	estimate	eng-30-00875246-n	estimate	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-01823528-v	estrange	eng-30-14415773-n	estrangement	MS
YES	FALSE	eng-30-02597246-v	estrange	eng-30-07502387-n	estrangement	MS
Y	FALSE	eng-30-01823528-v	estrange	eng-30-07502387-n	estrangement	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01750421-v	etch	eng-30-00938791-n	etching	NEW_PAIR_REL
Y	FALSE	eng-30-01750421-v	etch	eng-30-03299406-n	etching	NEW_PAIR_REL
Y	FALSE	eng-30-01749790-v	etch	eng-30-00938791-n	etching	NEW_PAIR_REL
Y	FALSE	eng-30-01750421-v	etch	eng-30-03299519-n	etching	NEW_PAIR_REL
Y	FALSE	eng-30-01070455-v	etymologise	eng-30-06168855-n	etymology	NEW_PAIR_REL
Y	FALSE	eng-30-00634286-v	etymologise	eng-30-06168855-n	etymology	NEW_PAIR_REL
Y	FALSE	eng-30-01070455-v	etymologise	eng-30-06514621-n	etymology	NEW_PAIR_REL
Y	FALSE	eng-30-00634286-v	etymologise	eng-30-06514621-n	etymology	NEW_PAIR_REL
Y	FALSE	eng-30-00634286-v	etymologize	eng-30-06744154-n	etymologizing	NEW_PAIR_REL
Y	FALSE	eng-30-00880780-v	eulogise	eng-30-06694359-n	eulogium	NEW_PAIR_REL
Y	FALSE	eng-30-00880780-v	eulogise	eng-30-06694359-n	eulogy	NEW_PAIR_REL
YES	FALSE	eng-30-00681429-v	evaluate	eng-30-10066732-n	evaluator	MS
Y	FALSE	eng-30-00670261-v	evaluate	eng-30-10066732-n	evaluator	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00366858-v	evaporate	eng-30-13572436-n	evaporation	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-00575970-v	evaporate	eng-30-13572436-n	evaporation	MS
YES	FALSE	eng-30-00366858-v	evaporate	eng-30-13460568-n	evaporation	MS
YES	FALSE	eng-30-00575720-v	evaporate	eng-30-13572436-n	evaporation	MS
Y	FALSE	eng-30-02611002-v	eventuate	eng-30-11410625-n	event	NEW_PAIR_REL
YES	FALSE	eng-30-01310660-v	excavate	eng-30-00922327-n	excavation	MS
YES	FALSE	eng-30-01313923-v	excavate	eng-30-00941974-n	excavation	MS
YES	FALSE	eng-30-02143539-v	excavate	eng-30-00941974-n	excavation	MS
Y	FALSE	eng-30-01310660-v	excavate	eng-30-00941974-n	excavation	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-01313923-v	excavate	eng-30-08550076-n	excavation	MS
YES	FALSE	eng-30-02143539-v	excavate	eng-30-08550076-n	excavation	MS
YES	FALSE	eng-30-01313923-v	excavate	eng-30-03302121-n	excavation	MS
Y	FALSE	eng-30-01310660-v	excavate	eng-30-08550076-n	excavation	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-02143539-v	excavate	eng-30-03302121-n	excavation	MS
YES	FALSE	eng-30-01311378-v	excavate	eng-30-03302121-n	excavation	MS
YES	FALSE	eng-30-01310660-v	excavate	eng-30-03302121-n	excavation	MS
Y	FALSE	eng-30-02669081-v	exceed	eng-30-05092635-n	exceedance	NEW_PAIR_REL
Y	FALSE	eng-30-00807941-v	except	eng-30-07209533-n	exception	NEW_PAIR_REL
YES	FALSE	eng-30-00503164-v	excite	eng-30-01260867-n	excitation	MS
Y	FALSE	eng-30-01762528-v	excite	eng-30-01260867-n	excitation	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-00558963-v	excite	eng-30-14036356-n	excitation	MS
YES	FALSE	eng-30-01772960-v	excite	eng-30-14037011-n	excitation	MS
YES	FALSE	eng-30-01761706-v	excite	eng-30-14037011-n	excitation	MS
YES	FALSE	eng-30-02116118-v	excite	eng-30-14037011-n	excitation	MS
Y	FALSE	eng-30-01712704-v	execute	eng-30-10069296-n	executant	NEW_PAIR_REL
Y	TRUE	eng-30-02148788-v	exhibit	eng-30-00521209-n	exhibit	NEW_PAIR_REL
Y	FALSE	eng-30-00720063-v	expect	eng-30-05951323-n	expectancy	NEW_PAIR_REL
Y	FALSE	eng-30-02267060-v	expend	eng-30-01122601-n	expending	NEW_PAIR_REL
Y	FALSE	eng-30-01036319-v	expose	eng-30-14543931-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-02113430-v	expose	eng-30-00907340-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-00933821-v	expose	eng-30-07215377-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-02140033-v	expose	eng-30-00522537-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-02112029-v	expose	eng-30-05043973-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-02113430-v	expose	eng-30-13640206-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-02137710-v	expose	eng-30-00522537-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-00614444-v	expose	eng-30-00204659-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-02112029-v	expose	eng-30-00157463-n	exposure	NEW_PAIR_REL
Y	FALSE	eng-30-00955601-v	exposit	eng-30-06742426-n	exposition	NEW_PAIR_REL
Y	FALSE	eng-30-00955601-v	expound	eng-30-06742426-n	expounding	NEW_PAIR_REL
Y	FALSE	eng-30-00201034-v	expurgate	eng-30-10073992-n	expurgator	NEW_PAIR_REL
YES	FALSE	eng-30-00540235-v	extend	eng-30-00367768-n	extension	MS
YES	FALSE	eng-30-00027268-v	extend	eng-30-00369532-n	extension	MS
Y	FALSE	eng-30-00317888-v	extend	eng-30-05133535-n	extension	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-00540235-v	extend	eng-30-13941125-n	extent	NEW_PAIR_REL
Y	FALSE	eng-30-00860620-v	extol	eng-30-06693198-n	extolment	NEW_PAIR_REL
Y	FALSE	eng-30-00067999-v	exudate	eng-30-07432337-n	exudation	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00067999-v	exudate	eng-30-14852913-n	exudation	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-00857923-v	exult	eng-30-07129422-n	exultation	MS
YES	FALSE	eng-30-01813668-v	exult	eng-30-07527817-n	exultation	MS
Y	FALSE	eng-30-00857923-v	exult	eng-30-07527817-n	exultation	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-02167052-v	eye	eng-30-05614476-n	eye	NEW_PAIR_REL
Y	TRUE	eng-30-02167052-v	eye	eng-30-05703307-n	eye	NEW_PAIR_REL
Y	TRUE	eng-30-02128514-v	eyewitness	eng-30-10075299-n	eyewitness	NEW_PAIR_REL
Y	FALSE	eng-30-01271189-v	face	eng-30-03315990-n	facing	NEW_PAIR_REL
Y	FALSE	eng-30-01271189-v	face	eng-30-03315644-n	facing	NEW_PAIR_REL
Y	FALSE	eng-30-01271189-v	face	eng-30-00827379-n	facing	NEW_PAIR_REL
Y	FALSE	eng-30-01271936-v	face	eng-30-03315805-n	facing	NEW_PAIR_REL
Y	TRUE	eng-30-00061933-v	face-lift	eng-30-00674158-n	facelift	NEW_PAIR_REL
Y	TRUE	eng-30-01007676-v	facsimile	eng-30-03316274-n	facsimile	NEW_PAIR_REL
Y	FALSE	eng-30-00733250-v	factorise	eng-30-13733402-n	factor	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00733250-v	factorise	eng-30-13593219-n	factor	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00733250-v	factorise	eng-30-05868954-n	factor	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00421917-v	fade	eng-30-07427534-n	fading	NEW_PAIR_REL
Y	FALSE	eng-30-00093593-v	fade	eng-30-07427534-n	fading	NEW_PAIR_REL
Y	FALSE	eng-30-02523521-v	fail	eng-30-00066901-n	failing	NEW_PAIR_REL
Y	FALSE	eng-30-02523784-v	fail	eng-30-00066901-n	failing	NEW_PAIR_REL
Y	FALSE	eng-30-02522319-v	fail	eng-30-14462946-n	failing	NEW_PAIR_REL
Y	FALSE	eng-30-00434374-v	fail	eng-30-14059663-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02528380-v	fail	eng-30-00066636-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02522319-v	fail	eng-30-07317764-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02528380-v	fail	eng-30-10273064-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02528380-v	fail	eng-30-14477877-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02529284-v	fail	eng-30-00066397-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02528380-v	fail	eng-30-07317764-n	failure	NEW_PAIR_REL
Y	FALSE	eng-30-02318403-v	fail	eng-30-14478433-n	failure	NEW_PAIR_REL
YES	TRUE	eng-30-02576921-v	fake	eng-30-10201535-n	fake	MS
YES	TRUE	eng-30-01654271-v	fake	eng-30-10201535-n	fake	MS
Y	TRUE	eng-30-00839526-v	fake	eng-30-10201535-n	fake	NEW_LIT_PAIR_KNOWN_REL
YES	TRUE	eng-30-02576921-v	fake	eng-30-03318438-n	fake	MS
YES	TRUE	eng-30-01654271-v	fake	eng-30-03318438-n	fake	MS
YES	TRUE	eng-30-00839526-v	fake	eng-30-03318438-n	fake	MS
Y	FALSE	eng-30-01654271-v	fake	eng-30-00752298-n	fakery	NEW_PAIR_REL
Y	FALSE	eng-30-02576921-v	fake	eng-30-00752298-n	fakery	NEW_PAIR_REL
Y	FALSE	eng-30-01145766-v	falcon	eng-30-05635448-n	falconry	NEW_PAIR_REL
YES	FALSE	eng-30-00667942-v	falsify	eng-30-05826469-n	falsification	MS
YES	FALSE	eng-30-00835903-v	falsify	eng-30-00751145-n	falsification	MS
YES	FALSE	eng-30-02576921-v	falsify	eng-30-00751145-n	falsification	MS
YES	FALSE	eng-30-00201407-v	falsify	eng-30-00751145-n	falsification	MS
YES	FALSE	eng-30-02576921-v	falsify	eng-30-00750890-n	falsification	MS
YES	FALSE	eng-30-00202236-v	falsify	eng-30-00751145-n	falsification	MS
Y	TRUE	eng-30-01901289-v	falter	eng-30-01063350-n	falter	NEW_PAIR_REL
Y	FALSE	eng-30-01901289-v	falter	eng-30-01063350-n	faltering	NEW_PAIR_REL
YES	TRUE	eng-30-01776468-v	fancy	eng-30-07497797-n	fancy	MS
YES	TRUE	eng-30-01635432-v	fancy	eng-30-05896059-n	fancy	MS
Y	TRUE	eng-30-01635432-v	fancy	eng-30-05632272-n	fancy	NEW_PAIR_REL
Y	FALSE	eng-30-01637368-v	fantasise	eng-30-05896059-n	fantasy	NEW_PAIR_REL
Y	FALSE	eng-30-01637368-v	fantasise	eng-30-05632446-n	fantasy	NEW_PAIR_REL
Y	TRUE	eng-30-01637368-v	fantasy	eng-30-05632446-n	fantasy	NEW_PAIR_REL
Y	TRUE	eng-30-01637368-v	fantasy	eng-30-05896059-n	fantasy	NEW_PAIR_REL
Y	TRUE	eng-30-00320681-v	farce	eng-30-07679140-n	farce	NEW_PAIR_REL
Y	FALSE	eng-30-01739814-v	farm	eng-30-00916464-n	farming	NEW_PAIR_REL
Y	FALSE	eng-30-02420232-v	farm	eng-30-00453731-n	farming	NEW_PAIR_REL
YES	FALSE	eng-30-01821132-v	fascinate	eng-30-04689450-n	fascination	MS
YES	FALSE	eng-30-02678839-v	fascinate	eng-30-04689450-n	fascination	MS
YES	FALSE	eng-30-01821132-v	fascinate	eng-30-14407899-n	fascination	MS
YES	FALSE	eng-30-01806505-v	fascinate	eng-30-07497976-n	fascination	MS
YES	FALSE	eng-30-02678839-v	fascinate	eng-30-14407899-n	fascination	MS
Y	FALSE	eng-30-01806505-v	fascinate	eng-30-14407899-n	fascination	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01658188-v	fashion	eng-30-00923995-n	fashioning	NEW_PAIR_REL
Y	FALSE	eng-30-01340439-v	fasten	eng-30-00147595-n	fastening	NEW_PAIR_REL
Y	FALSE	eng-30-01340439-v	fasten	eng-30-04777098-n	fastness	NEW_PAIR_REL
Y	TRUE	eng-30-00746479-v	fate	eng-30-09504915-n	fate	NEW_PAIR_REL
YES	TRUE	eng-30-02453692-v	favour	eng-30-01226941-n	favour	MS
Y	TRUE	eng-30-02464725-v	favour	eng-30-01226941-n	favour	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-00692143-v	favour	eng-30-05156319-n	favour	NEW_LIT_PAIR_KNOWN_REL
YES	TRUE	eng-30-02400037-v	favour	eng-30-07500414-n	favour	MS
YES	TRUE	eng-30-02453692-v	favour	eng-30-07500414-n	favour	MS
YES	TRUE	eng-30-02464725-v	favour	eng-30-07500414-n	favour	MS
Y	TRUE	eng-30-00692143-v	favour	eng-30-07500414-n	favour	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01185981-v	feast	eng-30-00840751-n	feasting	NEW_PAIR_REL
Y	FALSE	eng-30-01182021-v	feed	eng-30-01057759-n	feeding	NEW_PAIR_REL
Y	FALSE	eng-30-01179865-v	feed	eng-30-00838367-n	feeding	NEW_PAIR_REL
Y	FALSE	eng-30-01178565-v	feed	eng-30-01057759-n	feeding	NEW_PAIR_REL
YES	TRUE	eng-30-02134350-v	feel	eng-30-14526182-n	feel	MS
YES	TRUE	eng-30-02730471-v	feel	eng-30-14526182-n	feel	MS
YES	TRUE	eng-30-00715239-v	feel	eng-30-05677340-n	feel	MS
YES	TRUE	eng-30-01210152-v	feel	eng-30-00854538-n	feel	MS
YES	TRUE	eng-30-02106006-v	feel	eng-30-04946553-n	feel	MS
YES	TRUE	eng-30-02127613-v	feel	eng-30-04946553-n	feel	MS
YES	TRUE	eng-30-01210352-v	feel	eng-30-04946553-n	feel	MS
YES	TRUE	eng-30-01209678-v	feel	eng-30-04946553-n	feel	MS
Y	TRUE	eng-30-02110552-v	feel	eng-30-14526182-n	feel	NEW_PAIR_REL
Y	FALSE	eng-30-01209678-v	feel	eng-30-02584915-n	feeler	NEW_PAIR_REL
Y	FALSE	eng-30-01209678-v	feel	eng-30-05722427-n	feeling	NEW_PAIR_REL
Y	FALSE	eng-30-01771535-v	feel	eng-30-00026192-n	feeling	NEW_PAIR_REL
Y	FALSE	eng-30-00715239-v	feel	eng-30-05916739-n	feeling	NEW_PAIR_REL
Y	FALSE	eng-30-02106006-v	feel	eng-30-05721500-n	feeling	NEW_PAIR_REL
Y	FALSE	eng-30-02110552-v	feel	eng-30-14526182-n	feeling	NEW_PAIR_REL
Y	FALSE	eng-30-00838043-v	feign	eng-30-00754956-n	feigning	NEW_PAIR_REL
Y	FALSE	eng-30-00838043-v	feign	eng-30-06759349-n	feigning	NEW_PAIR_REL
Y	FALSE	eng-30-00881998-v	felicitate	eng-30-04716210-n	felicity	NEW_PAIR_REL
Y	FALSE	eng-30-01130607-v	fence	eng-30-03327234-n	fencing	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01588134-v	fence	eng-30-03327234-n	fencing	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01146918-v	fence	eng-30-01171644-n	fencing	NEW_PAIR_REL
YES	TRUE	eng-30-00458471-v	ferment	eng-30-14738752-n	ferment	MS
YES	TRUE	eng-30-00458754-v	ferment	eng-30-14738752-n	ferment	MS
YES	TRUE	eng-30-00458471-v	ferment	eng-30-13575433-n	ferment	MS
YES	TRUE	eng-30-00458754-v	ferment	eng-30-13575433-n	ferment	MS
Y	TRUE	eng-30-01763303-v	ferment	eng-30-13979503-n	ferment	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-01761533-v	ferment	eng-30-13979503-n	ferment	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00458754-v	ferment	eng-30-13575433-n	fermenting	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00458471-v	ferment	eng-30-13575433-n	fermenting	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-01144550-v	ferret	eng-30-02443484-n	ferret	NEW_PAIR_REL
YES	TRUE	eng-30-01949435-v	ferry	eng-30-03329663-n	ferry	MS
YES	TRUE	eng-30-01949674-v	ferry	eng-30-01106587-n	ferry	MS
YES	TRUE	eng-30-01949218-v	ferry	eng-30-03329663-n	ferry	MS
Y	TRUE	eng-30-01949435-v	ferry	eng-30-01106587-n	ferry	NEW_PAIR_REL
Y	FALSE	eng-30-01949435-v	ferry	eng-30-01106587-n	ferrying	NEW_PAIR_REL
Y	FALSE	eng-30-00096766-v	fester	eng-30-13479889-n	festering	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00096766-v	fester	eng-30-05417472-n	festering	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00320911-v	fetishize	eng-30-01207342-n	fetish	NEW_PAIR_REL
Y	FALSE	eng-30-00835294-v	fib	eng-30-00752144-n	fibbing	NEW_PAIR_REL
YES	FALSE	eng-30-00116619-v	fictionalise	eng-30-00931040-n	fictionalisation	MS
Y	FALSE	eng-30-01635176-v	fictionalise	eng-30-00931040-n	fictionalisation	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-00116619-v	fictionalise	eng-30-06367373-n	fictionalisation	MS
Y	FALSE	eng-30-01635176-v	fictionalise	eng-30-06367373-n	fictionalisation	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-01081852-v	field	eng-30-08570758-n	field	NEW_PAIR_REL
Y	TRUE	eng-30-01082290-v	field	eng-30-08570758-n	field	NEW_PAIR_REL
Y	FALSE	eng-30-01082290-v	field	eng-30-00126721-n	fielding	NEW_PAIR_REL
Y	FALSE	eng-30-01081852-v	field	eng-30-00126721-n	fielding	NEW_PAIR_REL
YES	TRUE	eng-30-01920048-v	file	eng-30-08428756-n	file	MS
YES	TRUE	eng-30-01001643-v	file	eng-30-06508816-n	file	MS
YES	TRUE	eng-30-01001857-v	file	eng-30-06508816-n	file	MS
Y	TRUE	eng-30-00869931-v	file	eng-30-03337140-n	file	NEW_PAIR_REL
Y	TRUE	eng-30-01001857-v	file	eng-30-03337140-n	file	NEW_PAIR_REL
Y	TRUE	eng-30-01001643-v	file	eng-30-03337140-n	file	NEW_PAIR_REL
Y	TRUE	eng-30-00869931-v	file	eng-30-06508816-n	file	NEW_PAIR_REL
Y	FALSE	eng-30-01001857-v	file	eng-30-07167954-n	filing	NEW_PAIR_REL
Y	FALSE	eng-30-01387022-v	file	eng-30-00925489-n	filing	NEW_PAIR_REL
Y	FALSE	eng-30-01001643-v	file	eng-30-00811491-n	filing	NEW_PAIR_REL
Y	TRUE	eng-30-01757871-v	filigree	eng-30-03337822-n	filigree	NEW_PAIR_REL
Y	FALSE	eng-30-00451838-v	fill	eng-30-13480541-n	filling	NEW_PAIR_REL
Y	FALSE	eng-30-00452512-v	fill	eng-30-00402535-n	filling	NEW_PAIR_REL
Y	FALSE	eng-30-00261533-v	fill	eng-30-03338287-n	filling	NEW_PAIR_REL
